TRANSCRIPTION_NUMBER,KINDNESS,ABILITY_TO_EXPLAIN,PITCH_SALE,CUSTOMER_SATISTFACTION,TARGET_KINDNESS,TARGET_EXPLAIN,TARGET_PITCH,TARGET_SATISFACTION,OVERALL,TARGET_OVERALL
1,0.75,1.0,1,0.75,1,1,1,1,3.5,4
2,0.75,1.0,1,1.0,1,0.75,1,1,3.75,3.75
3,0.75,1.0,1,0.75,1,0.75,1,1,3.5,3.75
4,0.75,1.0,1,0.75,1,0.75,1,1,3.5,3.75
5,0.75,1.0,1,0.75,1,1,1,1,3.5,4
6,0.75,1.0,0,0.75,1,0.75,0,0.75,2.5,2.5
7,0.75,0.75,1,0.75,1,1,1,1,3.25,4
8,0.75,1.0,1,0.75,1,1,1,1,3.5,4
9,0.75,1.0,1,1.0,1,1,1,1,3.75,4
10,0.75,0.75,0,0.75,1,1,0,1,2.25,3
11,0.75,0.75,1,0.75,0,1,1,0,3.25,2
12,0.75,0.75,0,0.5,0,0,0,0,2.0,0
13,0.75,0.75,0,0.75,0,0.5,0,0,2.25,0.5
14,0.75,1.0,0,0.0,0,0.5,0,0,1.75,0.5
15,0.0,0.5,0,0.0,0,0,0,0,0.5,0
16,0.75,1.0,0,0.75,0.75,1,1,0.5,2.5,3.25
17,0.75,0.75,0,0.25,0,0,0,0,1.75,0
18,0.0,0.25,0,0.0,0,0,0,0,0.25,0
